pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,90,0.923497,,0.077778,0,676,0,83,732
vlm,ชื่อวิชา (ไทย) ⭐,90,0.947597,0.958963,0.055556,0,2619,3,83,2767
vlm,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0,0,2659,0,90,2659
vlm,หน่วยกิต,90,0.932611,,0.077778,0,775,0,83,831
vlm,ปี/ภาค,90,0.922222,,0.077778,0,249,0,83,270
vlm,หมวดวิชา,90,1.0,,0.0,0,1238,0,90,1238
vlm,บังคับ/เลือก,90,1.0,,0.0,0,486,0,90,486
vlm,วิชาบังคับก่อน,7,0.0,,1.0,0,0,0,0,35
vlm,ปี/ภาคยืดหยุ่น,7,0.0,,1.0,0,0,0,0,0
text,รหัสวิชา,90,0.715847,,0.288889,0,524,0,64,732
text,ชื่อวิชา (ไทย) ⭐,90,0.800867,0.939525,0.144444,34,2176,6,64,2767
text,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0,0,2659,0,90,2659
text,หน่วยกิต,90,0.749699,,0.288889,0,623,0,64,831
text,ปี/ภาค,90,0.711111,,0.288889,0,192,0,64,270
text,หมวดวิชา,90,0.883683,,0.1,12,1082,0,78,1238
text,บังคับ/เลือก,90,0.851852,,0.133333,0,414,0,78,486
text,วิชาบังคับก่อน,26,0.117647,,0.923077,10,6,0,0,136
text,ปี/ภาคยืดหยุ่น,26,0.0,,1.0,0,0,0,0,0
