program,plan,code,name_th,name_en,credits,year,semester,category,type,prerequisite,flexible_year_semester,primary_pages,other_pages,occurrences,status,note
AIT,,06016401,คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ,MATHEMATICS FOR INFORMATION TECHNOLOGY,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,,49;57,0,found_by_name_only,ไม่พบรหัสวิชาใน OCR เลย พบเฉพาะชื่อวิชา (ไม่ยืนยันด้วยรหัส)
AIT,,06046400,แคลคูลัส 1,CALCULUS 1,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,19;23;287,,5,found,
AIT,,06046402,พีชคณิตเชิงเส้น,LINEAR ALGEBRA,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,19;23;288,292,5,found,
AIT,,06066000,คณิตศาสตร์ไม่ต่อเนื่อง,DISCRETE MATHEMATICS,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,19;23;288,37,4,found,
AIT,,06066001,ความน่าจะเป็นและสถิติ,PROBABILITY AND STATISTICS,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,19;23;289,37;291,6,found,
AIT,,06066303,การแก้ปัญหาและการโปรแกรมคอมพิวเตอร์,"PROBLEM SOLVING AND COMPUTER PROGRAMMING
PROGRAMMING",3(2-2-5),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;23;289,,3,found,
AIT,,90641008,พื้นฐานทักษะการสื่อสารภาษาอังกฤษ,INTRODUCTION TO ENGLISH COMMUNICATION SKILLS,0(0-0-45),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,19;23;119;120;145;233;234;235;236,238,13,found,
AIT,,06046401,แคลคูลัส 2,CALCULUS 2,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,06046400,,19;23;287,292,5,found,
AIT,,06046403,การโปรแกรมคอมพิวเตอร์,COMPUTER PROGRAMMING,3(2-2-5),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;23;289,37,4,found,
AIT,,06066301,โครงสร้างข้อมูลและอัลกอริทึม,DATA STRUCTURES AND ALGORITHMS,3(2-2-5),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;23;290,,3,found,
AIT,,06046404,พื้นฐานของระบบสมองกลฝังตัว,FUNDAMENTAL OF EMBEDDED SYSTEM,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;23;291,37,4,found,
AIT,,90641007,พลเมืองดิจิทัล,DIGITAL CITIZEN,3(3-0-6),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,19;23;119;120;144;233;234;236,36,13,found,
AIT,,90641004,โครงงานกลุ่ม 1,TEAM-PROJECT 1,1(0-2-1),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,18;23;118;120;233;234,119;144;235,13,found,
AIT,,06066300,แนวคิดระบบฐานข้อมูล,DATABASE SYSTEM CONCEPTS,3(2-2-5),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;24;290,,3,found,
AIT,,06046405,การเรียนรู้ของเครื่องเชิงความน่าจะเป็น,PROBABILISTIC MACHINE LEARNING,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,06066001,,20;24;291,37,4,found,
AIT,,06046406,พื้นฐานการเรียนรู้เชิงลึก,FUNDAMENTALS OF DEEP LEARNING,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,"06046401, 06046402",,20;24;292,37,4,found,
AIT,,06046409,คอมพิวเตอร์วิทัศน์เบื้องต้น,INTRODUCTION TO COMPUTER VISION,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;24;293,,3,found,
AIT,,06046413,ปัญญาประดิษฐ์และอินเทอร์เน็ตประสานสรรพสิ่ง,ARTIFICIAL INTELLIGIENCE AND INTERNET OF THING,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;24;295,38,4,found,
AIT,,90641009,ทักษะการสื่อสารภาษาอังกฤษระหว่างวัฒนธรรม 1,INTERCULTURAL COMMUNICATION SKILLS IN ENGLISH 1,3(3-0-6),2,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,19;24;119;145;233;234;236,120;238,11,found,
AIT,,06046407,พื้นฐานวิทยาการข้อมูล,FUNDAMENTALS OF DATA SCIENCE,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;24;292,38,4,found,
AIT,,06046408,การแสดงข้อมูลด้วยแผนภาพ,DATA VISUALIZATION,3(2-2-5),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;24;292,38,4,found,
AIT,,06046410,การประมวลผลภาษาธรรมชาติเบื้องต้น,INTRODUCTION TO NATURAL LANGUAGE PROCESSING,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;24;293,,3,found,
AIT,,06046412,การเพิ่มประสิทธิภาพโครงข่ายประสาทเทียม,NEURAL NETWORK OPTIMIZATION,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;24;295,38,4,found,
AIT,,06046411,การวิเคราะห์และเพิ่มประสิทธิภาพเครือข่าย,NETWORK ANALYSIS AND OPTIMIZATION,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;24;294,38,4,found,
AIT,,90641010,ทักษะการสื่อสารภาษาอังกฤษระหว่างวัฒนธรรม 2,INTERCULTURAL COMMUNICATION SKILLS IN ENGLISH 2,3(3-0-6),2,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,19;24;119;121;145;233;234;236,120,12,found,
AIT,,90641005,โครงงานกลุ่ม 2,TEAM-PROJECT 2,1(0-2-1),2,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,18;24;118;144;233;234,120,9,found,
AIT,,06046415,การประมวลผลสัญญาณ,SIGNAL PROCESSING,3(3-0-6),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,21;25;296,38,4,found,
AIT,,06046414,การประมวลผลภาษาธรรมชาติด้วยการเรียนรู้อย่างเชิงลึก,NATURAL LANGUAGE PROCESSING WITH DEEP LEARNING,3(3-0-6),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,20;25;295,,3,found,
AIT,,90642012,กระบวนการคิดเชิงออกแบบ,DESIGN THINKING,3(3-0-6),3,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,19;25;121;147,36;238,6,found,
AIT,,06046440,วิชาสัมมนาปัญญาประดิษฐ์,SEMINAR IN ARTIFICIAL INTELLIGENCE,3(2-2-5),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;25;302,40,4,found,
AIT,,06046441,โครงงานเทคโนโลยีปัญญาประดิษฐ์ 1,PROJECT IN ARTIFICIAL INTELLIGENCE TECHNOLOGY 1,3(0-9-0),3,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;303,40,3,found,
