program,plan,code,name_th,name_en,credits,year,semester,category,type,prerequisite,flexible_year_semester,primary_pages,other_pages,occurrences,status,note
BIT,coop,06036100,พื้นฐานทางด้านเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY FUNDAMENTALS,3(2-2-5),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,21;26;31;238,74,5,found,
BIT,coop,06036101,คณิตศาสตร์สำหรับธุรกิจ,MATHEMATICS FOR BUSINESS,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,21;26;31;238,74,5,found,
BIT,coop,06036118,การแก้ปัญหาทางด้านเทคโนโลยีสารสนเทศ,PROBLEM SOLVING IN INFORMATION TECHNOLOGY,3(2-2-5),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;26;31;246,75,5,found,
BIT,coop,96641001,โรงเรียนสร้างเสน่ห์,CHARM SCHOOL,2(1-2-3),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,20;26;31;122;124;143,219;267,8,found,
BIT,coop,96641003,กีฬาและนันทนาการ,SPORTS AND RECREATIONAL ACTIVITIES,1(0-3-2),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,20;26;31;122;124,202;219;267,8,found,
BIT,coop,96644007,ภาษาอังกฤษพื้นฐาน 1,FOUNDATION ENGLISH 1,3(3-0-6),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,20;26;31;182;209,267,6,found,
BIT,coop,96644042,การสื่อสารและการนำเสนออย่างมืออาชีพ,PROFESSIONAL COMMUNICATION AND PRESENTATION,3(3-0-6),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,21;26;31;189,267,5,found,
BIT,coop,06036102,การวิเคราะห์เชิงสถิติสำหรับธุรกิจ,STATISTICAL ANALYSIS FOR BUSINESS,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,21;27;32;239,268,5,found,
BIT,coop,06036109,กระบวนการและโมเดลทางธุรกิจ,BUSINESS PROCESSES AND BUSINESS MODEL,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;27;32;242,74;269,6,found,
BIT,coop,06036119,พื้นฐานการเขียนโปรแกรม,PROGRAMMING FUNDAMENTALS,3(2-2-5),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;27;32;246,75;244;270,8,found,
BIT,coop,06036125,สถาปัตยกรรมคอมพิวเตอร์และระบบปฏิบัติการ,COMPUTER ARCHITECTURE AND OPERATING SYSTEM,3(2-2-5),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;27;32;248,75;270,6,found,
BIT,coop,96641002,ความฉลาดทางดิจิทัล,DIGITAL INTELLIGENCE QUOTIENT,3(3-0-6),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,20;27;32;122;124;143,267,7,found,
BIT,coop,96644008,ภาษาอังกฤษพื้นฐาน 2,FOUNDATION ENGLISH 2,3(3-0-6),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,20;27;32;183,232;267,6,found,
BIT,coop,06036103,บูรณาการเทคนิคเชิงสถิติสำหรับธุรกิจ,"INTEGRATION OF STATISTICALTECHNIQUES FOR
BUSINESS",3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,21;27;32;239,74;268,6,found,
BIT,coop,06036104,องค์กรและการจัดการ,MANAGEMENT AND ORGANIZATIONS,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;27;32;240,,4,found,
BIT,coop,06036105,บัญชีการเงินสำหรับผู้มิใช่นักบัญชี,FINANCIAL ACCOUNTING FOR NON-ACCOUNTANTS,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;27;32;240,268,5,found,
BIT,coop,06036117,อัจฉริยะทางธุรกิจและข้อมูลขนาดใหญ่,BUSINESS INTELLIGENCE AND BIG DATA,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;27;32;245,,4,found,
BIT,coop,06036120,หลักการโครงสร้างข้อมูลและอัลกอริทึม,DATA STRUCTURES AND ALGORITHMS PRINCIPLES,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;27;32;246,75,5,found,
BIT,coop,06036122,การสื่อสารด้วยภาพสำหรับธุรกิจ,VISUAL COMMUNICATION FORBUSINESS,3(2-2-5),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;27;32;247,244,6,found,
BIT,coop,06036108,เศรษฐศาสตร์เทคโนโลยีสารสนเทศ,ECONOMICS OF INFORMATION TECHNOLOGY,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;28;33;242,74,5,found,
BIT,coop,06036111,เทคโนโลยีดิจิทัลสำหรับธุรกิจ,DIGITAL TECHNOLOGY FOR BUSINESS,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;28;33;243,74,5,found,
BIT,coop,06036112,แนวคิดระบบฐานข้อมูล,DATABASE SYSTEM CONCEPTS,3(2-2-5),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;28;33;243,74;249,7,found,
BIT,coop,06036113,การออกแบบส่วนต่อประสานกับมนุษย์,HUMAN INTERFACE DESIGN,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;28;33;244,75,5,found,
BIT,coop,06036124,เครือข่ายคอมพิวเตอร์และความมั่นคงทางไซเบอร์เบื้องต้น,"INTRODUCTION TO COMPUTER NETWORK AND
CYBERSECURITY",3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;28;33;248,75;270,6,found,
BIT,coop,06036107,การบริหารโครงการเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY PROJECT MANAGEMENT,3(3-0-6),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;28;33;241,74,5,found,
BIT,coop,06036110,การวางแผนทรัพยากรองค์กร,ENTERPRISE RESOURCE PLANNING,3(3-0-6),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,22;28;33;243,74,5,found,
BIT,coop,06036114,การพัฒนาเว็บแอปพลิเคชันโดยใช้เฟรมเวิร์ก,WEB APPLICATION DEVELOPMENT USING FRAMEWORKS,3(2-2-5),3,1,หมวดวิชาเฉพาะ,บังคับ,06036119 หรือ 06036122,,22;28;33;244,269,5,found,
BIT,coop,06036121,การวิเคราะห์และออกแบบระบบสารสนเทศทางธุรกิจ,BUSINESS INFORMATION SYSTEM ANALYSIS AND DESIGN,3(3-0-6),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;28;33;247,75;272,6,found,
BIT,coop,06036123,เทคโนโลยีกลุ่มเมฆ,CLOUD TECHNOLOGY,3(3-0-6),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;28;33;248,75;270;273,7,found,
