program,plan,code,name_th,name_en,credits,year,semester,category,type,prerequisite,flexible_year_semester,primary_pages,other_pages,occurrences,status,note
DSBA,no_coop,06016401,คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ,MATHEMATICS FOR INFORMATION TECHNOLOGY,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,,49,0,found_by_name_only,ไม่พบรหัสวิชาใน OCR เลย พบเฉพาะชื่อวิชา (ไม่ยืนยันด้วยรหัส)
DSBA,no_coop,06026200,แคลคูลัส 1,CALCULUS 1,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,17;30;314,353,6,found,
DSBA,no_coop,06026202,พีชคณิตเชิงเส้น,LINEAR ALGEBRA,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,17;23;315,353,4,found,
DSBA,no_coop,06066101,พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ,"BUSINESS FUNDAMENTALS FOR INFORMATION
TECHNOLOGY",3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,18;23;30;317,73;318;353,8,found,
DSBA,no_coop,06066303,การแก้ปัญหาและโปรแกรมคอมพิวเตอร์,"PROBLEM SOLVING AND COMPUTER
PROGRAMMING",3(2-2-5),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,18;23;319,73;353,5,found,
DSBA,no_coop,90641001,โรงเรียนสร้างเสน่าห์,CHARM SCHOOL,2(1-2-3),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,16;123;125;234,151;262;352,7,found,
DSBA,no_coop,90641003,กีฬาและนันทนาการ,SPORTS AND RECREATIONAL ACTIVITIES,1(0-3-2),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,16;123;125;151;234,262;352,7,found,
DSBA,no_coop,90644007,ภาษาอังกฤษพื้นฐาน 1,FOUNDATION ENGLISH 1,3(3-0-6),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,16;123;136;273,209;352,6,found,
DSBA,no_coop,06026201,แคลคูลัส 2,CALCULUS 2,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,06026200,,17;31;314,353,4,found,
DSBA,no_coop,06026203,การโปรแกรมคอมพิวเตอร์,COMPUTER PROGRAMMING,3(2-2-5),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,17;24;316,353,4,found,
DSBA,no_coop,06026205,การตลาดเบื้อต้น,INTRODUCTION TO MARKETING,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,18;320,68;354,4,found,
DSBA,no_coop,06066001,ความน่าจะเป็นและสถิติ,PROBABILITY AND STATISTICS,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,17;315,73;353,4,found,
DSBA,no_coop,90641002,ความฉลาดทางดิจิทัล,DIGITAL INTELLIGENCE QUOTIENT,3(3-0-6),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,16;123;125;151;352,262,6,found,
DSBA,no_coop,90642033,กฎหมายสำหรับคนรุ่นใหม่,LAW FOR NEW GENERATION,3(3-0-6),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,16;24;31;126;258;264,161;353,8,found,
DSBA,no_coop,90644008,ภาษาอังกฤษพื้นฐาน 2,FOUNDATION ENGLISH 2,3(3-0-6),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,16;31;123;136;209;273,352,7,found,
DSBA,no_coop,06026206,การวิเคราะห์ข้อมูลและการโปรแกรม,DATA ANALYTICS AND PROGRAMMING,3(2-2-5),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,18;25;321,354,4,found,
DSBA,no_coop,06066000,คณิตศาสตร์ไม่ต่อเนื่อง,DISCRETE MATHEMATICS,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,17;315;353,73,4,found,
DSBA,no_coop,06066300,แนวคิดระบบฐานข้อมูล,DATABASE SYSTEM CONCEPTS,3(2-2-5),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,18;318;353,73;323;324,8,found,
DSBA,no_coop,06066302,การเขียนโปรแกรมเว็บพื้นฐาน,FUNDAMENTAL WEB PROGRAMMING,3(2-2-5),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,25;319,18;73;353,5,found,
DSBA,no_coop,06066304,การวิเคราะห์และอออกแบบระบบสารสนเทศ,INFORMATION SYSTEM ANALYSIS AND DESIGN,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,18;320,73;353,4,found,
