program,plan,code,name_th,name_en,credits,year,semester,category,type,prerequisite,flexible_year_semester,primary_pages,other_pages,occurrences,status,note
IT,no_coop,06016401,คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ,MATHEMATICS FOR INFORMATION TECHNOLOGY,3(3-0-6),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;38;324,,3,found,
IT,no_coop,06016402,พื้นฐานทางด้านเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY FUNDAMENTALS,3(2-2-5),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;38;324,,3,found,
IT,no_coop,06016411,ระบบคอมพิวเตอร์เบื้องต้น,INTRODUCTION TO COMPUTER SYSTEMS,3(2-2-5),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;328,84,3,found,
IT,no_coop,06066303,การแก้ปัญหาและการโปรแกรมคอมพิวเตอร์,PROBLEM SOLVING AND COMPUTER PROGRAMMING,3(2-2-5),1,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;38;359,88;375,5,found,
IT,no_coop,90641001,โรงเรียนสร้างเสน่ห์,CHARM SCHOOL,2(1-2-3),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,21;38;134;136;162;373,,6,found,
IT,no_coop,90641003,กีฬาและนันทนาการ,SPORTS AND RECREATIONAL ACTIVITIES,1(0-3-2),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,38;136,21;273;373,5,found,
IT,no_coop,90644007,ภาษาอังกฤษพื้นฐาน 1,FOUNDATION ENGLISH 1,3(3-0-6),1,1,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,22;38;134;147;220,373,6,found,
IT,no_coop,06016408,การสร้างโปรแกรมเชิงวัตถุ,OBJECT-ORIENTED PROGRAMMING,3(2-2-5),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;326,83;331,5,found,
IT,no_coop,06066001,ความน่าจะเป็นและสถิติ,PROBABILITY AND STATISTICS,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;357,87;375,4,found,
IT,no_coop,06066101,พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ,BUSINESS FUNDAMENTALS FOR INFORMATION TECHNOLOGY,3(3-0-6),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;32;39;357,87;346;358;375,10,found,
IT,no_coop,06066301,โครงสร้างข้อมูลและอัลกอรึทึม,DATA STRUCTURES AND ALGORITHMS,3(2-2-5),1,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;359,375,3,found,
IT,no_coop,90641002,ความฉลาดทางดิจิทัล,DIGITAL INTELLIGENCE QUOTIENT,3(3-0-6),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,21;134;136;373,273,5,found,
IT,no_coop,90644008,ภาษาอังกฤษพื้นฐาน 2,FOUNDATION ENGLISH 2,3(3-0-6),1,2,หมวดวิชาศึกษาทั่วไป,บังคับ,ไม่มี,,22;147,219;373,4,found,
IT,no_coop,06016403,เทคโนโลยีสื่อประสม,MULTIMEDIA TECHNOLOGY,3(2-2-5),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;324,,2,found,
IT,no_coop,06016409,การประมวลผลทางกายภาพ,PHYSICAL COMPUTING,3(2-2-5),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;327,84,3,found,
IT,no_coop,06016413,ระบบเครือข่ายเบื้องต้น,INTRODUCTION TO NETWORK SYSTEMS,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;328,84;331;332;333;334,13,found,
IT,no_coop,06066000,คณิตศาสตร์ไม่ต่อเนื่อง,DISCRETE MATHEMATICS,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;356,87;375,4,found,
IT,no_coop,06066300,แนวคิดระบบฐานข้อมูล,DATABASE SYSTEM CONCEPTS,3(2-2-5),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;358,88;347;375,8,found,
IT,no_coop,06066304,การวิเคราะห์และออกแบบระบบสารสนเทศ,INFORMATION SYSTEM ANALYSIS AND DESIGN,3(3-0-6),2,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;360,337;375,5,found,
IT,no_coop,06016405,พื้นฐานความมั่นคงปลอดภัยไซเบอร์,CYBERSECURITY FUNDAMENTALS,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;325,,2,found,
IT,no_coop,06016410,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;327,84,3,found,
IT,no_coop,06016412,โครงสร้างระบบคอมพิวเตอร์และระบบปฎิบัติการ,COMPUTER ORGANIZATION AND OPERATING SYSTEM,3(2-2-5),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;328,84,3,found,
IT,no_coop,06066302,การเขียนโปรแกรมเว็บพื้นฐาน,FUNDAMENTAL WEB PROGRAMMING,3(2-2-5),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,24;34;41;359,336;342;375,9,found,
IT,no_coop,06016414,ระบบฐานข้อมูลแบบโนเอสคิวแอล,NOSQL DATABASE SYSTEMS,3(2-2-5),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,25;34;41;329,,4,found,
IT,no_coop,06016415,การเขียนโปรแกรมเชิงฟังก์ชัน,FUNCTIONAL PROGRAMMING,3(2-2-5),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,25;34;41;329,,4,found,
IT,no_coop,06016419,โครงสร้างพื้นฐานเครือข่ายการสื่อสาร,COMMUNICATION NETWORK INFRASTRUCTURE,3(2-2-5),2,2,หมวดวิชาเฉพาะ,บังคับ,06016413,,25;34;41;331,,4,found,
IT,no_coop,06016420,ระบบโครงสร้างพื้นฐานและการบริการ,INFRASTRUCTURE SYSTEMS AND SERVICES,3(2-2-5),2,2,หมวดวิชาเฉพาะ,บังคับ,06016413,,25;34;41;332,,4,found,
IT,no_coop,06016424,การออกแบบส่วนต่อประสานกับมนุษย์,HUMAN INTERFACE DESIGN,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,25;334,34;41;84,5,found,
IT,no_coop,06016425,พื้นฐานการออกแบบทัศนศิลป์สำหรับสื่อปฏิสัมพันธ์,VISUAL DESIGN FUNDAMENTALS FOR INTERACTIVE MEDIA,3(3-0-6),2,2,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,26;334,34;41;84,5,found,
IT,no_coop,06016404,เทคโนโลยีกลุ่มเมฆ,CLOUD COMPUTING,3(2-2-5),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,23;325,336,4,found,
IT,no_coop,06066102,ระบบสารสนเทศเพื่อการจัดการ,MANAGEMENT INFORMATION SYSTEMS,3(3-0-6),3,1,หมวดวิชาเฉพาะ,บังคับ,06066101,,23,358;375,3,found,
IT,no_coop,06016416,วิศวกรรมความต้องการ,REQUIREMENT ENGINEERING,3(3-0-6),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,25;35;42;330,84,5,found,
IT,no_coop,06016417,เครื่องมือและสภาพแวดล้อมสำหรับการพัฒนาซอฟต์แวร์,SOFTWARE DEVELOPMENT TOOLS AND ENVIRONMENTS,3(2-2-5),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,25;35;42;330,,4,found,
IT,no_coop,06016418,การพัฒนาเว็บฝั่งเซิร์ฟเวอร์,SERVER-SIDE WEB DEVELOPMENT,3(2-2-5),3,1,หมวดวิชาเฉพาะ,บังคับ,ไม่มี,,25;26;35;42;331,84,8,found,
